Photolysis rate coefficients, s-1
   1 = O3 -> O2 + O(1D)                                  
   2 = O3 -> O2 + O(3P)                                  
   3 = CHOCHO -> 2 HO2 + 2 CO                            
   4 = CHOCHO -> H2 + 2 CO                               
   5 = CHOCHO -> CH2O + CO                               
   6 = c-C6H10O + hv -> 5-hexenal                        
   7 = c-C6H10O + hv -> cyclopentane + CO                
   8 = c-C6H10O + hv -> 1-pentene + CO                   
values at z =      0.500 km
Columns: sza, photo-reactions
 sza, deg.          1          2          3          4          5          6          7          8
   72.0000  2.069E-06  2.622E-04  4.926E-05  0.000E+00  5.164E-06  1.901E-06  9.407E-09  4.163E-08
   72.5000  1.928E-06  2.568E-04  4.753E-05  0.000E+00  4.922E-06  1.805E-06  8.539E-09  3.844E-08
   73.0000  1.795E-06  2.512E-04  4.578E-05  0.000E+00  4.682E-06  1.711E-06  7.741E-09  3.543E-08
   73.5000  1.667E-06  2.454E-04  4.402E-05  0.000E+00  4.447E-06  1.618E-06  6.992E-09  3.256E-08
   74.0000  1.546E-06  2.395E-04  4.226E-05  0.000E+00  4.216E-06  1.528E-06  6.307E-09  2.987E-08
   74.5000  1.432E-06  2.334E-04  4.050E-05  0.000E+00  3.991E-06  1.441E-06  5.674E-09  2.733E-08
   75.0000  1.324E-06  2.272E-04  3.874E-05  0.000E+00  3.771E-06  1.356E-06  5.094E-09  2.495E-08
   75.5000  1.222E-06  2.208E-04  3.699E-05  0.000E+00  3.556E-06  1.273E-06  4.564E-09  2.273E-08
   76.0000  1.126E-06  2.142E-04  3.524E-05  0.000E+00  3.347E-06  1.193E-06  4.081E-09  2.065E-08
   76.5000  1.035E-06  2.074E-04  3.349E-05  0.000E+00  3.144E-06  1.116E-06  3.643E-09  1.872E-08
   77.0000  9.504E-07  2.005E-04  3.176E-05  0.000E+00  2.947E-06  1.042E-06  3.246E-09  1.693E-08
   77.5000  8.705E-07  1.932E-04  3.000E-05  0.000E+00  2.754E-06  9.694E-07  2.892E-09  1.527E-08
   78.0000  7.949E-07  1.857E-04  2.831E-05  0.000E+00  2.569E-06  9.001E-07  2.558E-09  1.370E-08
   78.5000  7.260E-07  1.782E-04  2.663E-05  0.000E+00  2.392E-06  8.347E-07  2.273E-09  1.230E-08
   79.0000  6.627E-07  1.705E-04  2.502E-05  0.000E+00  2.226E-06  7.732E-07  2.019E-09  1.102E-08
   79.5000  6.028E-07  1.625E-04  2.340E-05  0.000E+00  2.063E-06  7.134E-07  1.791E-09  9.846E-09
   80.0000  5.471E-07  1.543E-04  2.181E-05  0.000E+00  1.906E-06  6.563E-07  1.587E-09  8.766E-09
   80.5000  4.954E-07  1.459E-04  2.026E-05  0.000E+00  1.757E-06  6.022E-07  1.406E-09  7.785E-09
   81.0000  4.476E-07  1.373E-04  1.876E-05  0.000E+00  1.615E-06  5.509E-07  1.247E-09  6.895E-09
   81.5000  4.034E-07  1.285E-04  1.730E-05  0.000E+00  1.480E-06  5.024E-07  1.106E-09  6.091E-09
   82.0000  3.627E-07  1.195E-04  1.589E-05  0.000E+00  1.351E-06  4.566E-07  9.820E-10  5.366E-09
   82.5000  3.251E-07  1.103E-04  1.455E-05  0.000E+00  1.230E-06  4.135E-07  8.729E-10  4.716E-09
   83.0000  2.906E-07  1.011E-04  1.326E-05  0.000E+00  1.115E-06  3.729E-07  7.768E-10  4.134E-09
   83.5000  2.589E-07  9.172E-05  1.203E-05  0.000E+00  1.007E-06  3.349E-07  6.921E-10  3.616E-09
   84.0000  2.298E-07  8.237E-05  1.087E-05  0.000E+00  9.051E-07  2.993E-07  6.172E-10  3.154E-09
   84.5000  2.031E-07  7.307E-05  9.779E-06  0.000E+00  8.095E-07  2.661E-07  5.509E-10  2.746E-09
   85.0000  1.788E-07  6.393E-05  8.754E-06  0.000E+00  7.198E-07  2.351E-07  4.918E-10  2.384E-09
   85.5000  1.566E-07  5.504E-05  7.795E-06  0.000E+00  6.361E-07  2.063E-07  4.389E-10  2.066E-09
   86.0000  1.364E-07  4.653E-05  6.901E-06  0.000E+00  5.580E-07  1.797E-07  3.913E-10  1.786E-09
   86.5000  1.180E-07  3.856E-05  6.068E-06  0.000E+00  4.855E-07  1.553E-07  3.482E-10  1.540E-09
   87.0000  1.014E-07  3.127E-05  5.292E-06  0.000E+00  4.185E-07  1.328E-07  3.088E-10  1.324E-09
   87.5000  8.650E-08  2.483E-05  4.569E-06  0.000E+00  3.569E-07  1.125E-07  2.727E-10  1.134E-09
   88.0000  7.311E-08  1.935E-05  3.898E-06  0.000E+00  3.006E-07  9.408E-08  2.394E-10  9.665E-10
   88.5000  6.117E-08  1.492E-05  3.278E-06  0.000E+00  2.497E-07  7.765E-08  2.086E-10  8.193E-10
   89.0000  5.060E-08  1.149E-05  2.710E-06  0.000E+00  2.042E-07  6.315E-08  1.803E-10  6.894E-10
   89.5000  4.136E-08  8.888E-06  2.197E-06  0.000E+00  1.642E-07  5.055E-08  1.541E-10  5.751E-10
   90.0000  3.345E-08  6.853E-06  1.748E-06  0.000E+00  1.300E-07  3.990E-08  1.306E-10  4.761E-10
------------------------------------------------------------
